     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4326500 2691500  1  2 23  -1.0  989 264  1.2 7  2.9  82    0    0 262 -304  3
4326500 2691500  1  2 24  -1.5  990 265  1.7 6  3.0  83    0    0 263 -304  3
4326500 2691500  1  3  1  -1.6  990 269  1.6 5  3.0  88    0    0 253 -304  3
4326500 2691500  1  3  2  -1.6  990 272  1.6 6  3.1  91    0    0 252 -304  3
4326500 2691500  1  3  3  -1.9  990 285  1.8 5  3.2  94    0    0 252 -303  3
4326500 2691500  1  3  4  -0.9  990 289  0.7 5  3.3  93    0    0 248 -303  3
4326500 2691500  1  3  5  -1.2  990 279  1.3 6  3.3  91    0    0 253 -302  3
4326500 2691500  1  3  6  -1.2  990 283  1.2 6  3.2  91    0    0 257 -301  3
4326500 2691500  1  3  7  -1.5  990 281  1.2 8  3.2  91    0    0 265 -300  3
4326500 2691500  1  3  8  -1.2  990 285  1.2 8  3.2  90    0    0 274 -299  3
4326500 2691500  1  3  9  -1.0  990 274  1.4 8  3.2  88    9   15 275 -298  3
4326500 2691500  1  3 10  -1.1  991 270  1.7 8  3.2  88   32   55 274 -298  3
4326500 2691500  1  3 11  -0.5  991 289  2.4 6  3.2  86   11   85 263 -299  3
4326500 2691500  1  3 12  -0.9  991 274  2.8 6  3.1  85    1   87 254 -301  3
4326500 2691500  1  3 13  -0.7  991 294  3.1 7  3.1  86    1   89 258 -302  3
4326500 2691500  1  3 14  -1.0  991 297  3.2 6  3.1  85    3   85 257 -302  3
4326500 2691500  1  3 15  -1.7  991 297  2.9 6  3.0  85    0   55 248 -301  3
4326500 2691500  1  3 16  -2.2  991 290  2.3 6  2.9  86    0    8 246 -300  3
4326500 2691500  1  3 17  -2.7  992 287  1.2 7  2.8  86    0    0 248 -298  3
4326500 2691500  1  3 18  -3.2  992 252  1.1 5  2.7  86    0    0 242 -298  3
4326500 2691500  1  3 19  -4.4  992 257  1.8 4  2.6  88    0    0 230 -298  3
4326500 2691500  1  3 20  -3.4  993 231  1.0 4  2.5  85    0    0 229 -299  3
4326500 2691500  1  3 21  -3.1  993 215  0.8 5  2.5  81    0    0 237 -300  3
4326500 2691500  1  3 22  -5.0  992 194  0.3 5  2.4  84    0    0 240 -300  3
4326500 2691500  1  3 23  -4.6  992 180  0.2 6  2.4  88    0    0 244 -301  3
4326500 2691500  1  3 24  -4.6  992 175  0.6 7  2.5  90    0    0 251 -302  3
4326500 2691500  1  4  1  -6.3  992 172  0.7 5  2.3  90    0    0 247 -301  3
4326500 2691500  1  4  2  -5.9  992 167  0.7 5  2.2  89    0    0 240 -299  3
4326500 2691500  1  4  3  -4.5  992 162  0.5 6  2.3  88    0    0 246 -296  3
4326500 2691500  1  4  4  -3.8  992 178  1.3 6  2.5  87    0    0 252 -295  3
4326500 2691500  1  4  5  -2.9  992 176  1.6 6  2.5  84    0    0 255 -295  3
4326500 2691500  1  4  6  -4.0  992 146  0.1 6  2.5  85    0    0 256 -294  3
4326500 2691500  1  4  7  -3.5  991 174  0.7 7  2.5  85    0    0 257 -293  3
4326500 2691500  1  4  8  -3.3  991 159  1.7 7  2.5  84    0    0 261 -292  3
4326500 2691500  1  4  9  -3.8  991 164  1.3 7  2.5  83   20   13 259 -292  3
