Koordinatensystem : Lambert konform konisch
Rechtswert        : 4072500 Meter
Hochwert          : 2349500 Meter
Hoehenlage        : 787 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
4072500 2349500  1  3  2  -1.7  929 360  4.9 7  3.5  95    0    0 277 -306  0
4072500 2349500  1  3  3  -1.7  929 340  4.1 8  3.5  96    0    0 277 -306  0
4072500 2349500  1  3  4  -1.8  929 330  3.2 8  3.5  95    0    0 282 -306  0
4072500 2349500  1  3  5  -1.9  930 320  3.1 8  3.4  95    0    0 281 -305  0
4072500 2349500  1  3  6  -1.9  930 300  2.5 8  3.4  96    0    0 281 -304  0
4072500 2349500  1  3  7  -1.8  930 290  2.9 8  3.5  96    0    0 281 -304  0
4072500 2349500  1  3  8  -1.8  931 300  2.8 8  3.5  96    0    0 281 -304  0
4072500 2349500  1  3  9  -1.7  931 300  2.6 8  3.5  96    4   17 281 -303  0
4072500 2349500  1  3 10  -1.6  932 320  2.8 3  3.5  95   46   88 250 -304  0
4072500 2349500  1  3 11  -1.3  932 330  2.9 7  3.5  94    2   97 244 -307  0
4072500 2349500  1  3 12  -1.0  933 310  2.5 8  3.6  94    0   39 274 -309  0
4072500 2349500  1  3 13  -0.9  933 310  2.0 8  3.6  94    0   79 281 -310  0
4072500 2349500  1  3 14  -1.1  932 330  3.1 8  3.6  93    0   63 281 -311  0
4072500 2349500  1  3 15  -1.2  932 330  3.3 8  3.5  93    0   30 280 -311  0
4072500 2349500  1  3 16  -1.4  933 340  3.7 8  3.5  94    0   22 280 -309  0
4072500 2349500  1  3 17  -1.5  933 350  3.8 8  3.5  94    0    1 280 -306  0
4072500 2349500  1  3 18  -1.8  934 360  3.2 8  3.4  93    0    0 280 -304  0
4072500 2349500  1  3 19  -2.0  934  10  3.4 8  3.4  95    0    0 278 -303  0
4072500 2349500  1  3 20  -2.2  934   0  3.6 8  3.4  97    0    0 278 -302  0
4072500 2349500  1  3 21  -2.6  935  20  3.8 8  3.3  96    0    0 276 -302  0
4072500 2349500  1  3 22  -2.6  935  30  3.0 7  3.2  95    0    0 269 -302  0
4072500 2349500  1  3 23  -2.7  935  40  2.8 7  3.2  94    0    0 263 -301  0
4072500 2349500  1  3 24  -2.8  934  40  3.6 7  3.2  94    0    0 264 -301  0
4072500 2349500  1  4  1  -2.9  934  50  4.2 6  3.2  95    0    0 260 -300  0
4072500 2349500  1  4  2  -2.8  934  70  3.8 7  3.2  96    0    0 260 -299  0
4072500 2349500  1  4  3  -2.8  934  60  3.5 8  3.2  96    0    0 270 -299  0
4072500 2349500  1  4  4  -2.9  934  60  4.1 7  3.2  96    0    0 269 -299  0
4072500 2349500  1  4  5  -2.7  933  60  3.8 7  3.2  95    0    0 264 -299  0
4072500 2349500  1  4  6  -2.8  933  60  4.0 7  3.2  95    0    0 264 -299  0
4072500 2349500  1  4  7  -2.8  933  40  3.3 7  3.2  95    0    0 264 -299  0
4072500 2349500  1  4  8  -2.8  933  40  4.2 8  3.2  95    0    0 269 -298  0
4072500 2349500  1  4  9  -2.9  933  50  4.4 8  3.2  95    1   15 273 -298  0
4072500 2349500  1  4 10  -2.8  932  40  4.3 5  3.1  94   18   89 257 -300  0
4072500 2349500  1  4 11  -2.7  932  50  5.0 6  3.1  94    6  111 246 -303  0
4072500 2349500  1  4 12  -2.5  932  50  5.4 7  3.2  93    0   75 258 -306  0
4072500 2349500  1  4 13  -2.4  932  50  5.9 7  3.2  92    0  112 266 -308  0
4072500 2349500  1  4 14  -2.5  931  60  6.8 7  3.2  92    0   86 266 -310  0
4072500 2349500  1  4 15  -2.7  930  60  7.2 8  3.1  92    0   53 271 -310  0
4072500 2349500  1  4 16  -2.9  930  60  7.8 8  3.1  91    0   25 277 -309  0
4072500 2349500  1  4 17  -2.9  930  50  8.1 8  3.0  91    0    1 276 -307  0
4072500 2349500  1  4 18  -3.1  929  60  7.3 5  3.0  91    0    0 258 -301  0
4072500 2349500  1  4 19  -3.0  929  60  6.7 7  3.0  91    0    0 251 -295  0
4072500 2349500  1  4 20  -3.0  929  60  6.3 5  3.0  92    0    0 251 -293  0
4072500 2349500  1  4 21  -3.1  929  60  6.9 7  3.1  92    0    0 250 -297  0
4072500 2349500  1  4 22  -3.2  928  60  6.7 8  3.1  93    0    0 268 -300  0
4072500 2349500  1  4 23  -3.2  927  70  7.0 8  3.0  93    0    0 274 -300  0
4072500 2349500  1  4 24  -3.2  927  70  7.4 6  3.0  93    0    0 260 -297  0
4072500 2349500  1  5  1  -3.4  926  70  6.9 7  3.0  94    0    0 252 -295  0
4072500 2349500  1  5  2  -3.4  925  70  6.8 7  3.0  94    0    0 258 -295  0
4072500 2349500  1  5  3  -3.6  925  70  6.6 7  3.0  94    0    0 258 -294  0
4072500 2349500  1  5  4  -3.8  925  70  6.0 7  2.9  93    0    0 256 -293  0
4072500 2349500  1  5  5  -3.9  924  80  5.2 7  2.9  93    0    0 254 -292  0
4072500 2349500  1  5  6  -4.0  924  70  6.0 7  2.9  93    0    0 255 -290  0
4072500 2349500  1  5  7  -4.3  923  70  5.0 8  2.9  93    0    0 263 -288  0
4072500 2349500  1  5  8  -4.6  923  70  5.3 8  2.8  93    0    0 270 -286  0
4072500 2349500  1  5  9  -5.0  923  70  5.2 8  2.7  93    1   12 267 -287  0
4072500 2349500  1  5 10  -5.1  923  70  4.9 6  2.6  92   67   54 253 -287  0
4072500 2349500  1  5 11  -4.9  923  70  4.6 6  2.6  92  100   92 238 -287  0
4072500 2349500  1  5 12  -4.7  923  70  3.6 6  2.7  92  104  124 238 -288  0
4072500 2349500  1  5 13  -4.3  923  60  2.8 4  2.7  91   57  142 225 -292  0
4072500 2349500  1  5 14  -3.9  922  80  2.0 7  2.8  90    0   93 235 -294  0
4072500 2349500  1  5 15  -4.1  922  60  2.0 7  2.8  90    1   64 258 -295  0
4072500 2349500  1  5 16  -4.8  922  60  3.1 6  2.7  92    4   40 248 -293  0
4072500 2349500  1  5 17  -5.0  922  80  2.2 4  2.7  93    0    1 221 -288  0
4072500 2349500  1  5 18  -5.0  922 110  2.0 6  2.7  93    0    0 223 -285  0
4072500 2349500  1  5 19  -4.9  922 100  1.7 8  2.7  93    0    0 254 -284  0
4072500 2349500  1  5 20  -5.1  922  50  1.6 8  2.7  93    0    0 266 -282  0
4072500 2349500  1  5 21  -5.2  922  60  2.2 8  2.6  93    0    0 264 -281  0
4072500 2349500  1  5 22  -5.4  922 160  2.1 8  2.6  93    0    0 262 -277  0
4072500 2349500  1  5 23  -5.6  922 120  1.2 8  2.6  93    0    0 259 -270  0
4072500 2349500  1  5 24  -5.6  922 261  1.8 8  2.6  93    0    0 258 -259  0
4072500 2349500  1  6  1  -6.0  922 257  1.1 8  2.5  94    0    0 256 -249  0
4072500 2349500  1  6  2  -6.3  922 266  2.2 8  2.5  94    0    0 255 -242  0
4072500 2349500  1  6  3  -6.5  922 261  2.1 8  2.4  95    0    0 255 -238  0
4072500 2349500  1  6  4  -7.0  922 280  1.8 8  2.4  96    0    0 255 -235  0
4072500 2349500  1  6  5  -7.5  922 100  1.8 8  2.3  96    0    0 252 -233  0
4072500 2349500  1  6  6  -7.7  922 130  2.3 4  2.3  96    0    0 233 -231  0
4072500 2349500  1  6  7  -6.7  923 130  1.9 6  2.3  96    0    0 225 -230  0
4072500 2349500  1  6  8  -7.6  923 140  2.3 7  2.3  95    0    0 238 -229  0
4072500 2349500  1  6  9  -6.5  923 140  4.7 6  2.3  95    8   16 239 -229  0
4072500 2349500  1  6 10  -5.5  924 140  3.1 4  2.6  97  105   60 229 -236  0
4072500 2349500  1  6 11  -6.7  924 100  4.3 5  2.6  99  103  111 224 -263  0
4072500 2349500  1  6 12  -5.1  925 100  3.0 6  2.6  96   73  153 232 -289  0
4072500 2349500  1  6 13  -4.4  925  80  1.9 7  2.7  93   28  152 245 -299  0
4072500 2349500  1  6 14  -4.4  925 102  1.7 5  2.8  94   18  134 241 -303  0
4072500 2349500  1  6 15  -4.5  925 120  1.2 7  2.8  94   17   86 242 -302  0
4072500 2349500  1  6 16  -5.0  925  90  1.6 8  2.8  94    2   40 255 -297  0
4072500 2349500  1  6 17  -5.7  925 110  1.6 6  2.7  95    0    1 249 -290  0
4072500 2349500  1  6 18  -5.6  925  48  1.9 7  2.6  96    0    0 243 -285  0
4072500 2349500  1  6 19  -6.1  926 101  1.8 7  2.6  95    0    0 246 -283  0
4072500 2349500  1  6 20  -6.6  926 105  2.6 5  2.5  96    0    0 236 -283  0
4072500 2349500  1  6 21  -7.0  926  92  2.5 3  2.4  96    0    0 218 -281  0
4072500 2349500  1  6 22  -7.8  927 100  1.7 6  2.3  96    0    0 220 -276  0
4072500 2349500  1  6 23  -7.1  926  90  2.5 6  2.3  96    0    0 234 -274  0
4072500 2349500  1  6 24  -7.9  926 120  2.1 3  2.2  95    0    0 220 -275  0
4072500 2349500  1  7  1  -5.9  928 110  4.6 4  2.4  96    0    0 213 -270  0
4072500 2349500  1  7  2  -6.5  928 130  2.9 3  2.5  98    0    0 217 -266  0
4072500 2349500  1  7  3  -6.4  928  50  1.2 3  2.5  97    0    0 212 -270  0
4072500 2349500  1  7  4  -8.6  927 170  1.7 4  2.3  96    0    0 214 -276  0
4072500 2349500  1  7  5  -8.1  927 126  3.0 5  2.1  95    0    0 222 -278  0
4072500 2349500  1  7  6  -5.3  929 171  3.3 4  2.4  97    0    0 228 -280  0
4072500 2349500  1  7  7  -5.8  929 168  2.7 5  2.7  98    0    0 233 -281  0
4072500 2349500  1  7  8  -6.0  930 169  3.0 5  2.6  98    0    0 237 -281  0
4072500 2349500  1  7  9  -5.6  931 144  2.9 4  2.6  98    3   10 232 -281  0
4072500 2349500  1  7 10  -6.5  931 175  3.0 2  2.6 100  102   20 214 -283  0
4072500 2349500  1  7 11  -6.6  930 111  3.6 2  2.5 100  138   30 201 -289  0
4072500 2349500  1  7 12  -4.9  931 190  3.3 2  2.7 100   88   74 202 -295  0
4072500 2349500  1  7 13  -4.6  931  75  1.7 4  2.9 100   54   99 216 -301  0
4072500 2349500  1  7 14  -5.2  931  50  2.7 4  2.8  97  102   42 227 -305  0
4072500 2349500  1  7 15  -3.5  931  50  1.3 2  2.8  93  107   21 217 -305  0
4072500 2349500  1  7 16  -4.9  930 110  1.5 4  2.7  91   54   19 217 -302  0
4072500 2349500  1  7 17  -5.9  931 110  1.7 3  2.6  94    0    3 219 -297  0
4072500 2349500  1  7 18  -6.0  931 110  3.2 3  2.6  98    0    0 212 -292  0
4072500 2349500  1  7 19  -7.9  930 130  2.8 6  2.4  98    0    0 224 -289  0
4072500 2349500  1  7 20  -7.9  930 120  3.2 6  2.2  98    0    0 238 -284  0
4072500 2349500  1  7 21  -7.2  930 100  2.8 8  2.3 100    0    0 250 -278  0
4072500 2349500  1  7 22  -7.3  930 267  2.2 8  2.4  99    0    0 262 -267  0
4072500 2349500  1  7 23  -7.8  930 252  3.3 6  2.3  99    0    0 251 -256  0
4072500 2349500  1  7 24  -8.1  930 271  2.8 5  2.3 100    0    0 234 -264  0
4072500 2349500  1  8  1  -8.8  930 232  1.5 2  2.2  99    0    0 211 -281  0
4072500 2349500  1  8  2  -7.6  930  49  1.7 2  2.2  99    0    0 196 -277  0
