date,description
25-Dec-2058,1. Weihnachtsfeiertag
26-Dec-2058,2. Weihnachtsfeiertag
01-Jan-2059,Neujahr
28-Mar-2059,Karfreitag
31-Mar-2059,Ostermontag
01-May-2059,Tag der Arbeit
08-May-2059,Christi Himmelfahrt
19-May-2059,Pfingstmontag
03-Oct-2059,Tag der Deutschen Einheit
31-Oct-2059,Reformationstag
19-Nov-2059,Buß- und Bettag
25-Dec-2059,1. Weihnachtsfeiertag
26-Dec-2059,2. Weihnachtsfeiertag
01-Jan-2060,Neujahr
16-Apr-2060,Karfreitag
19-Apr-2060,Ostermontag
01-May-2060,Tag der Arbeit
27-May-2060,Christi Himmelfahrt
07-Jun-2060,Pfingstmontag
03-Oct-2060,Tag der Deutschen Einheit
31-Oct-2060,Reformationstag
17-Nov-2060,Buß- und Bettag
25-Dec-2060,1. Weihnachtsfeiertag
26-Dec-2060,2. Weihnachtsfeiertag
01-Jan-2061,Neujahr
08-Apr-2061,Karfreitag
11-Apr-2061,Ostermontag
01-May-2061,Tag der Arbeit
19-May-2061,Christi Himmelfahrt
30-May-2061,Pfingstmontag
03-Oct-2061,Tag der Deutschen Einheit
31-Oct-2061,Reformationstag
16-Nov-2061,Buß- und Bettag
25-Dec-2061,1. Weihnachtsfeiertag
26-Dec-2061,2. Weihnachtsfeiertag
01-Jan-2062,Neujahr
24-Mar-2062,Karfreitag
27-Mar-2062,Ostermontag
01-May-2062,Tag der Arbeit
04-May-2062,Christi Himmelfahrt
15-May-2062,Pfingstmontag
03-Oct-2062,Tag der Deutschen Einheit
31-Oct-2062,Reformationstag
22-Nov-2062,Buß- und Bettag
25-Dec-2062,1. Weihnachtsfeiertag
26-Dec-2062,2. Weihnachtsfeiertag
01-Jan-2063,Neujahr
13-Apr-2063,Karfreitag
16-Apr-2063,Ostermontag
01-May-2063,Tag der Arbeit
24-May-2063,Christi Himmelfahrt
04-Jun-2063,Pfingstmontag
03-Oct-2063,Tag der Deutschen Einheit
31-Oct-2063,Reformationstag
21-Nov-2063,Buß- und Bettag
25-Dec-2063,1. Weihnachtsfeiertag
26-Dec-2063,2. Weihnachtsfeiertag
01-Jan-2064,Neujahr
04-Apr-2064,Karfreitag
07-Apr-2064,Ostermontag
01-May-2064,Tag der Arbeit
15-May-2064,Christi Himmelfahrt
26-May-2064,Pfingstmontag
03-Oct-2064,Tag der Deutschen Einheit
31-Oct-2064,Reformationstag
19-Nov-2064,Buß- und Bettag
25-Dec-2064,1. Weihnachtsfeiertag
26-Dec-2064,2. Weihnachtsfeiertag
01-Jan-2065,Neujahr
27-Mar-2065,Karfreitag
30-Mar-2065,Ostermontag
01-May-2065,Tag der Arbeit
07-May-2065,Christi Himmelfahrt
18-May-2065,Pfingstmontag
03-Oct-2065,Tag der Deutschen Einheit
31-Oct-2065,Reformationstag
18-Nov-2065,Buß- und Bettag
25-Dec-2065,1. Weihnachtsfeiertag
26-Dec-2065,2. Weihnachtsfeiertag
01-Jan-2066,Neujahr
09-Apr-2066,Karfreitag
12-Apr-2066,Ostermontag
01-May-2066,Tag der Arbeit
20-May-2066,Christi Himmelfahrt
31-May-2066,Pfingstmontag
03-Oct-2066,Tag der Deutschen Einheit
31-Oct-2066,Reformationstag
17-Nov-2066,Buß- und Bettag
25-Dec-2066,1. Weihnachtsfeiertag
26-Dec-2066,2. Weihnachtsfeiertag
01-Jan-2067,Neujahr
01-Apr-2067,Karfreitag
04-Apr-2067,Ostermontag
01-May-2067,Tag der Arbeit
12-May-2067,Christi Himmelfahrt
23-May-2067,Pfingstmontag
03-Oct-2067,Tag der Deutschen Einheit
31-Oct-2067,Reformationstag
16-Nov-2067,Buß- und Bettag
25-Dec-2067,1. Weihnachtsfeiertag
26-Dec-2067,2. Weihnachtsfeiertag
01-Jan-2068,Neujahr
20-Apr-2068,Karfreitag
23-Apr-2068,Ostermontag
01-May-2068,Tag der Arbeit
31-May-2068,Christi Himmelfahrt
11-Jun-2068,Pfingstmontag
03-Oct-2068,Tag der Deutschen Einheit
31-Oct-2068,Reformationstag
21-Nov-2068,Buß- und Bettag
25-Dec-2068,1. Weihnachtsfeiertag
26-Dec-2068,2. Weihnachtsfeiertag
01-Jan-2069,Neujahr
12-Apr-2069,Karfreitag
15-Apr-2069,Ostermontag
01-May-2069,Tag der Arbeit
23-May-2069,Christi Himmelfahrt
03-Jun-2069,Pfingstmontag
03-Oct-2069,Tag der Deutschen Einheit
31-Oct-2069,Reformationstag
20-Nov-2069,Buß- und Bettag
25-Dec-2069,1. Weihnachtsfeiertag
26-Dec-2069,2. Weihnachtsfeiertag
01-Jan-2070,Neujahr
28-Mar-2070,Karfreitag
31-Mar-2070,Ostermontag
01-May-2070,Tag der Arbeit
08-May-2070,Christi Himmelfahrt
19-May-2070,Pfingstmontag
03-Oct-2070,Tag der Deutschen Einheit
31-Oct-2070,Reformationstag
19-Nov-2070,Buß- und Bettag
25-Dec-2070,1. Weihnachtsfeiertag
26-Dec-2070,2. Weihnachtsfeiertag
01-Jan-2071,Neujahr
17-Apr-2071,Karfreitag
20-Apr-2071,Ostermontag
01-May-2071,Tag der Arbeit
28-May-2071,Christi Himmelfahrt
08-Jun-2071,Pfingstmontag
03-Oct-2071,Tag der Deutschen Einheit
31-Oct-2071,Reformationstag
18-Nov-2071,Buß- und Bettag
25-Dec-2071,1. Weihnachtsfeiertag
26-Dec-2071,2. Weihnachtsfeiertag
01-Jan-2072,Neujahr
08-Apr-2072,Karfreitag
11-Apr-2072,Ostermontag
01-May-2072,Tag der Arbeit
19-May-2072,Christi Himmelfahrt
30-May-2072,Pfingstmontag
03-Oct-2072,Tag der Deutschen Einheit
31-Oct-2072,Reformationstag
16-Nov-2072,Buß- und Bettag
25-Dec-2072,1. Weihnachtsfeiertag
26-Dec-2072,2. Weihnachtsfeiertag
01-Jan-2073,Neujahr
24-Mar-2073,Karfreitag
27-Mar-2073,Ostermontag
01-May-2073,Tag der Arbeit
04-May-2073,Christi Himmelfahrt
15-May-2073,Pfingstmontag
03-Oct-2073,Tag der Deutschen Einheit
31-Oct-2073,Reformationstag
22-Nov-2073,Buß- und Bettag
25-Dec-2073,1. Weihnachtsfeiertag
26-Dec-2073,2. Weihnachtsfeiertag
01-Jan-2074,Neujahr
13-Apr-2074,Karfreitag
16-Apr-2074,Ostermontag
01-May-2074,Tag der Arbeit
24-May-2074,Christi Himmelfahrt
04-Jun-2074,Pfingstmontag
03-Oct-2074,Tag der Deutschen Einheit
31-Oct-2074,Reformationstag
21-Nov-2074,Buß- und Bettag
25-Dec-2074,1. Weihnachtsfeiertag
26-Dec-2074,2. Weihnachtsfeiertag
01-Jan-2075,Neujahr
05-Apr-2075,Karfreitag
08-Apr-2075,Ostermontag
01-May-2075,Tag der Arbeit
16-May-2075,Christi Himmelfahrt
27-May-2075,Pfingstmontag
03-Oct-2075,Tag der Deutschen Einheit
31-Oct-2075,Reformationstag
20-Nov-2075,Buß- und Bettag
25-Dec-2075,1. Weihnachtsfeiertag
26-Dec-2075,2. Weihnachtsfeiertag
01-Jan-2076,Neujahr
17-Apr-2076,Karfreitag
20-Apr-2076,Ostermontag
01-May-2076,Tag der Arbeit
28-May-2076,Christi Himmelfahrt
08-Jun-2076,Pfingstmontag
03-Oct-2076,Tag der Deutschen Einheit
31-Oct-2076,Reformationstag
18-Nov-2076,Buß- und Bettag
25-Dec-2076,1. Weihnachtsfeiertag
26-Dec-2076,2. Weihnachtsfeiertag
01-Jan-2077,Neujahr
09-Apr-2077,Karfreitag
12-Apr-2077,Ostermontag
01-May-2077,Tag der Arbeit
20-May-2077,Christi Himmelfahrt
31-May-2077,Pfingstmontag
03-Oct-2077,Tag der Deutschen Einheit
31-Oct-2077,Reformationstag
17-Nov-2077,Buß- und Bettag
25-Dec-2077,1. Weihnachtsfeiertag
26-Dec-2077,2. Weihnachtsfeiertag
01-Jan-2078,Neujahr
01-Apr-2078,Karfreitag
04-Apr-2078,Ostermontag
01-May-2078,Tag der Arbeit
12-May-2078,Christi Himmelfahrt
23-May-2078,Pfingstmontag
03-Oct-2078,Tag der Deutschen Einheit
31-Oct-2078,Reformationstag
16-Nov-2078,Buß- und Bettag
25-Dec-2078,1. Weihnachtsfeiertag
26-Dec-2078,2. Weihnachtsfeiertag
01-Jan-2079,Neujahr
21-Apr-2079,Karfreitag
24-Apr-2079,Ostermontag
01-May-2079,Tag der Arbeit
01-Jun-2079,Christi Himmelfahrt
12-Jun-2079,Pfingstmontag
03-Oct-2079,Tag der Deutschen Einheit
31-Oct-2079,Reformationstag
22-Nov-2079,Buß- und Bettag
25-Dec-2079,1. Weihnachtsfeiertag
26-Dec-2079,2. Weihnachtsfeiertag
01-Jan-2080,Neujahr
05-Apr-2080,Karfreitag
08-Apr-2080,Ostermontag
01-May-2080,Tag der Arbeit
16-May-2080,Christi Himmelfahrt
27-May-2080,Pfingstmontag
03-Oct-2080,Tag der Deutschen Einheit
31-Oct-2080,Reformationstag
20-Nov-2080,Buß- und Bettag
25-Dec-2080,1. Weihnachtsfeiertag
26-Dec-2080,2. Weihnachtsfeiertag
01-Jan-2081,Neujahr
28-Mar-2081,Karfreitag
31-Mar-2081,Ostermontag
01-May-2081,Tag der Arbeit
08-May-2081,Christi Himmelfahrt
19-May-2081,Pfingstmontag
03-Oct-2081,Tag der Deutschen Einheit
31-Oct-2081,Reformationstag
19-Nov-2081,Buß- und Bettag
25-Dec-2081,1. Weihnachtsfeiertag
26-Dec-2081,2. Weihnachtsfeiertag
01-Jan-2082,Neujahr
17-Apr-2082,Karfreitag
20-Apr-2082,Ostermontag
01-May-2082,Tag der Arbeit
28-May-2082,Christi Himmelfahrt
08-Jun-2082,Pfingstmontag
03-Oct-2082,Tag der Deutschen Einheit
31-Oct-2082,Reformationstag
18-Nov-2082,Buß- und Bettag
25-Dec-2082,1. Weihnachtsfeiertag
26-Dec-2082,2. Weihnachtsfeiertag
01-Jan-2083,Neujahr
02-Apr-2083,Karfreitag
05-Apr-2083,Ostermontag
01-May-2083,Tag der Arbeit
13-May-2083,Christi Himmelfahrt
24-May-2083,Pfingstmontag
03-Oct-2083,Tag der Deutschen Einheit
31-Oct-2083,Reformationstag
17-Nov-2083,Buß- und Bettag
25-Dec-2083,1. Weihnachtsfeiertag
26-Dec-2083,2. Weihnachtsfeiertag
01-Jan-2084,Neujahr
24-Mar-2084,Karfreitag
27-Mar-2084,Ostermontag
01-May-2084,Tag der Arbeit
04-May-2084,Christi Himmelfahrt
15-May-2084,Pfingstmontag
03-Oct-2084,Tag der Deutschen Einheit
31-Oct-2084,Reformationstag
22-Nov-2084,Buß- und Bettag
25-Dec-2084,1. Weihnachtsfeiertag
26-Dec-2084,2. Weihnachtsfeiertag
01-Jan-2085,Neujahr
13-Apr-2085,Karfreitag
16-Apr-2085,Ostermontag
01-May-2085,Tag der Arbeit
24-May-2085,Christi Himmelfahrt
04-Jun-2085,Pfingstmontag
03-Oct-2085,Tag der Deutschen Einheit
31-Oct-2085,Reformationstag
21-Nov-2085,Buß- und Bettag
25-Dec-2085,1. Weihnachtsfeiertag
26-Dec-2085,2. Weihnachtsfeiertag
01-Jan-2086,Neujahr
29-Mar-2086,Karfreitag
01-Apr-2086,Ostermontag
01-May-2086,Tag der Arbeit
09-May-2086,Christi Himmelfahrt
20-May-2086,Pfingstmontag
03-Oct-2086,Tag der Deutschen Einheit
31-Oct-2086,Reformationstag
20-Nov-2086,Buß- und Bettag
25-Dec-2086,1. Weihnachtsfeiertag
26-Dec-2086,2. Weihnachtsfeiertag
01-Jan-2087,Neujahr
18-Apr-2087,Karfreitag
21-Apr-2087,Ostermontag
01-May-2087,Tag der Arbeit
29-May-2087,Christi Himmelfahrt
09-Jun-2087,Pfingstmontag
03-Oct-2087,Tag der Deutschen Einheit
31-Oct-2087,Reformationstag
19-Nov-2087,Buß- und Bettag
25-Dec-2087,1. Weihnachtsfeiertag
26-Dec-2087,2. Weihnachtsfeiertag
01-Jan-2088,Neujahr
09-Apr-2088,Karfreitag
12-Apr-2088,Ostermontag
01-May-2088,Tag der Arbeit
20-May-2088,Christi Himmelfahrt
31-May-2088,Pfingstmontag
03-Oct-2088,Tag der Deutschen Einheit
31-Oct-2088,Reformationstag
17-Nov-2088,Buß- und Bettag
25-Dec-2088,1. Weihnachtsfeiertag
26-Dec-2088,2. Weihnachtsfeiertag
01-Jan-2089,Neujahr
01-Apr-2089,Karfreitag
04-Apr-2089,Ostermontag
01-May-2089,Tag der Arbeit
12-May-2089,Christi Himmelfahrt
23-May-2089,Pfingstmontag
03-Oct-2089,Tag der Deutschen Einheit
31-Oct-2089,Reformationstag
16-Nov-2089,Buß- und Bettag
25-Dec-2089,1. Weihnachtsfeiertag
26-Dec-2089,2. Weihnachtsfeiertag
01-Jan-2090,Neujahr
14-Apr-2090,Karfreitag
17-Apr-2090,Ostermontag
01-May-2090,Tag der Arbeit
25-May-2090,Christi Himmelfahrt
05-Jun-2090,Pfingstmontag
03-Oct-2090,Tag der Deutschen Einheit
31-Oct-2090,Reformationstag
22-Nov-2090,Buß- und Bettag
25-Dec-2090,1. Weihnachtsfeiertag
26-Dec-2090,2. Weihnachtsfeiertag
01-Jan-2091,Neujahr
06-Apr-2091,Karfreitag
09-Apr-2091,Ostermontag
01-May-2091,Tag der Arbeit
17-May-2091,Christi Himmelfahrt
28-May-2091,Pfingstmontag
03-Oct-2091,Tag der Deutschen Einheit
31-Oct-2091,Reformationstag
21-Nov-2091,Buß- und Bettag
25-Dec-2091,1. Weihnachtsfeiertag
26-Dec-2091,2. Weihnachtsfeiertag
01-Jan-2092,Neujahr
28-Mar-2092,Karfreitag
31-Mar-2092,Ostermontag
01-May-2092,Tag der Arbeit
08-May-2092,Christi Himmelfahrt
19-May-2092,Pfingstmontag
03-Oct-2092,Tag der Deutschen Einheit
31-Oct-2092,Reformationstag
19-Nov-2092,Buß- und Bettag
25-Dec-2092,1. Weihnachtsfeiertag
26-Dec-2092,2. Weihnachtsfeiertag
01-Jan-2093,Neujahr
10-Apr-2093,Karfreitag
13-Apr-2093,Ostermontag
01-May-2093,Tag der Arbeit
21-May-2093,Christi Himmelfahrt
01-Jun-2093,Pfingstmontag
03-Oct-2093,Tag der Deutschen Einheit
31-Oct-2093,Reformationstag
18-Nov-2093,Buß- und Bettag
25-Dec-2093,1. Weihnachtsfeiertag
26-Dec-2093,2. Weihnachtsfeiertag
01-Jan-2094,Neujahr
02-Apr-2094,Karfreitag
05-Apr-2094,Ostermontag
01-May-2094,Tag der Arbeit
13-May-2094,Christi Himmelfahrt
24-May-2094,Pfingstmontag
03-Oct-2094,Tag der Deutschen Einheit
31-Oct-2094,Reformationstag
17-Nov-2094,Buß- und Bettag
25-Dec-2094,1. Weihnachtsfeiertag
26-Dec-2094,2. Weihnachtsfeiertag
01-Jan-2095,Neujahr
22-Apr-2095,Karfreitag
25-Apr-2095,Ostermontag
01-May-2095,Tag der Arbeit
02-Jun-2095,Christi Himmelfahrt
13-Jun-2095,Pfingstmontag
03-Oct-2095,Tag der Deutschen Einheit
31-Oct-2095,Reformationstag
16-Nov-2095,Buß- und Bettag
25-Dec-2095,1. Weihnachtsfeiertag
26-Dec-2095,2. Weihnachtsfeiertag
01-Jan-2096,Neujahr
13-Apr-2096,Karfreitag
16-Apr-2096,Ostermontag
01-May-2096,Tag der Arbeit
24-May-2096,Christi Himmelfahrt
04-Jun-2096,Pfingstmontag
03-Oct-2096,Tag der Deutschen Einheit
31-Oct-2096,Reformationstag
21-Nov-2096,Buß- und Bettag
25-Dec-2096,1. Weihnachtsfeiertag
26-Dec-2096,2. Weihnachtsfeiertag
01-Jan-2097,Neujahr
29-Mar-2097,Karfreitag
01-Apr-2097,Ostermontag
01-May-2097,Tag der Arbeit
09-May-2097,Christi Himmelfahrt
20-May-2097,Pfingstmontag
03-Oct-2097,Tag der Deutschen Einheit
31-Oct-2097,Reformationstag
20-Nov-2097,Buß- und Bettag
25-Dec-2097,1. Weihnachtsfeiertag
26-Dec-2097,2. Weihnachtsfeiertag
01-Jan-2098,Neujahr
18-Apr-2098,Karfreitag
21-Apr-2098,Ostermontag
01-May-2098,Tag der Arbeit
29-May-2098,Christi Himmelfahrt
09-Jun-2098,Pfingstmontag
03-Oct-2098,Tag der Deutschen Einheit
31-Oct-2098,Reformationstag
19-Nov-2098,Buß- und Bettag
25-Dec-2098,1. Weihnachtsfeiertag
26-Dec-2098,2. Weihnachtsfeiertag
01-Jan-2099,Neujahr
10-Apr-2099,Karfreitag
13-Apr-2099,Ostermontag
01-May-2099,Tag der Arbeit
21-May-2099,Christi Himmelfahrt
01-Jun-2099,Pfingstmontag
03-Oct-2099,Tag der Deutschen Einheit
31-Oct-2099,Reformationstag
18-Nov-2099,Buß- und Bettag
25-Dec-2099,1. Weihnachtsfeiertag
26-Dec-2099,2. Weihnachtsfeiertag
01-Jan-2100,Neujahr
26-Mar-2100,Karfreitag
29-Mar-2100,Ostermontag
01-May-2100,Tag der Arbeit
06-May-2100,Christi Himmelfahrt
17-May-2100,Pfingstmontag
03-Oct-2100,Tag der Deutschen Einheit
31-Oct-2100,Reformationstag
17-Nov-2100,Buß- und Bettag
25-Dec-2100,1. Weihnachtsfeiertag
26-Dec-2100,2. Weihnachtsfeiertag
